"","SubNum","DF","Tones","TactCond","seg"
"1","Sub001","df4","ABA","Tact  A",0
"2","Sub001","df4","ABA","Tact  A",1
"3","Sub001","df4","ABA","Tact  A",0
"4","Sub001","df4","ABA","Tact  A",0
"5","Sub001","df4","ABA","Tact  A",0
"6","Sub001","df4","ABA","Tact  A",0
"7","Sub001","df4","ABA","Tact  A",1
"8","Sub001","df4","ABA","Tact  A",0
"9","Sub001","df4","ABA","Tact  A",1
"10","Sub001","df4","ABA","Tact  A",1
"11","Sub001","df4","ABA","Tact  A",1
"12","Sub001","df4","ABA","Tact  A",1
"13","Sub001","df4","ABA","Tact  A",1
"14","Sub001","df4","ABA","Tact  A",1
"15","Sub001","df4","ABA","Tact  A",0
"16","Sub001","df4","ABA","Tact  A",0
"17","Sub001","df4","ABA","Tact  A",0
"18","Sub001","df4","ABA","Tact  A",0
"19","Sub001","df4","ABA","Tact  A",0
"20","Sub001","df4","ABA","Tact  A",0
"21","Sub001","df4","ABA","Tact  A",0
"22","Sub001","df4","ABA","Tact  A",0
"23","Sub001","df4","ABA","Tact  A",0
"24","Sub001","df4","ABA","Tact  A",0
"25","Sub001","df4","ABA","Tact  A",1
"26","Sub001","df4","ABA","Tact  A",1
"27","Sub001","df4","ABA","Tact  A",1
"28","Sub001","df4","ABA","Tact  A",0
"29","Sub001","df4","ABA","Tact  A",0
"30","Sub001","df4","ABA","Tact  A",1
"31","Sub001","df4","ABA","Tact  A",0
"32","Sub001","df4","ABA","Tact  A",1
"33","Sub001","df4","ABA","Tact  A",0
"34","Sub001","df4","ABA","Tact  A",1
"35","Sub001","df4","ABA","Tact  A",1
"36","Sub001","df4","ABA","Tact  A",0
"37","Sub001","df4","ABA","Tact  A",0
"38","Sub001","df4","ABA","Tact  A",1
"39","Sub001","df4","ABA","Tact  A",1
"40","Sub001","df4","ABA","Tact  A",1
"41","Sub001","df4","ABA","TactABA",0
"42","Sub001","df4","ABA","TactABA",0
"43","Sub001","df4","ABA","TactABA",0
"44","Sub001","df4","ABA","TactABA",0
"45","Sub001","df4","ABA","TactABA",0
"46","Sub001","df4","ABA","TactABA",0
"47","Sub001","df4","ABA","TactABA",0
"48","Sub001","df4","ABA","TactABA",0
"49","Sub001","df4","ABA","TactABA",0
"50","Sub001","df4","ABA","TactABA",0
"51","Sub001","df4","ABA","TactABA",0
"52","Sub001","df4","ABA","TactABA",1
"53","Sub001","df4","ABA","TactABA",0
"54","Sub001","df4","ABA","TactABA",0
"55","Sub001","df4","ABA","TactABA",0
"56","Sub001","df4","ABA","TactABA",0
"57","Sub001","df4","ABA","TactABA",0
"58","Sub001","df4","ABA","TactABA",0
"59","Sub001","df4","ABA","TactABA",1
"60","Sub001","df4","ABA","TactABA",1
"61","Sub001","df4","ABA","TactABA",1
"62","Sub001","df4","ABA","TactABA",0
"63","Sub001","df4","ABA","TactABA",0
"64","Sub001","df4","ABA","TactABA",0
"65","Sub001","df4","ABA","TactABA",1
"66","Sub001","df4","ABA","TactABA",0
"67","Sub001","df4","ABA","TactABA",0
"68","Sub001","df4","ABA","TactABA",0
"69","Sub001","df4","ABA","TactABA",0
"70","Sub001","df4","ABA","TactABA",0
"71","Sub001","df4","ABA","TactABA",1
"72","Sub001","df4","ABA","TactABA",0
"73","Sub001","df4","ABA","TactABA",1
"74","Sub001","df4","ABA","TactABA",0
"75","Sub001","df4","ABA","TactABA",0
"76","Sub001","df4","ABA","TactABA",0
"77","Sub001","df4","ABA","TactABA",0
"78","Sub001","df4","ABA","TactABA",0
"79","Sub001","df4","ABA","TactABA",1
"80","Sub001","df4","ABA","TactABA",0
"81","Sub001","df4","ABA","TactOff",1
"82","Sub001","df4","ABA","TactOff",0
"83","Sub001","df4","ABA","TactOff",0
"84","Sub001","df4","ABA","TactOff",0
"85","Sub001","df4","ABA","TactOff",1
"86","Sub001","df4","ABA","TactOff",0
"87","Sub001","df4","ABA","TactOff",1
"88","Sub001","df4","ABA","TactOff",0
"89","Sub001","df4","ABA","TactOff",0
"90","Sub001","df4","ABA","TactOff",0
"91","Sub001","df4","ABA","TactOff",0
"92","Sub001","df4","ABA","TactOff",0
"93","Sub001","df4","ABA","TactOff",0
"94","Sub001","df4","ABA","TactOff",0
"95","Sub001","df4","ABA","TactOff",0
"96","Sub001","df4","ABA","TactOff",0
"97","Sub001","df4","ABA","TactOff",0
